List of Courses  [CS Department] <V 1.3>,,,,,,,,,,,,,,,,,,,,,,
Code,Course Title,Teacher Name,Credit Hours,Offered for,Category,Time Slots,Pre-Req,Entery in Time Table,CS-Section Count,,,,,,,,,,,,,
MT119,"Calculus and Analytical Geometry (CS-E, CS-L)",Dr. Noreen Akram (VF),3,BS(CS),MT(Core),8,,,,,,,,,,,,,,,,
MT119,Calculus and Ana. Geometry,,3,BS(CS),MT(Core),8,,,,,,,,,,,,,,,,
SS111,Islamic & Religious Studies (CS-A),Mr. Hafiz Muhammad Hamza Janjua (PF),3,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SS111,"Islamic & Religious Studies (CS-B, CS-J)",Dr. Salman Ahmad (VF),3,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SS111,"Islamic & Religious Studies (CS-D, CS-H, CS-L)",Mr. Anwaar Hussain (VF),3,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SS111,"Islamic & Religious Studies (CS-K, CS-G)",Dr. Farrukh Sohail (VF),3,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SS111,Islamic & Religious Studies (CS-E),Dr. Muhammad Abid Nadeem (VF),3,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SS111,"Islamic & Religious Studies (CS-F, CS-C)",Mr. Mahmood Akhtar (VF),3,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SS111,Islamic & Religious Studies (CS-I),Mr. Hafeez Ur Rahman (VF),3,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
EE117,Applied Physics  (CS-K),Dr. Saman Shahid (PF),3,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
EE117,"Applied Physics  (CS-L, CS-A)",Mr. Muzamil Shah (VF),3,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
EE117,"Applied Physics  (CS-B, CS-F)",Mr. Muhammad Shiraz Ahmad (VF),3,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
EE117,"Applied Physics  (CS-H, CS-I, CS-J)",Mr. Muhammad Bilal Azam (VF),3,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
EE117,"Applied Physics  (CS-C, CS-G)",Ms. Shanian Muhammad Boota (VF),3,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
EE117,"Applied Physics  (CS-D, CS-E)",Mr. Faizan Saleem (VF),3,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-A1),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-A2),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-B1),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-B2),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-C1),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-C2),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-D1),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-D2),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-E1),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-E2),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-F1),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-F2),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-G1),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-G2),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-H1),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-H2),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-I1),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-I2),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-J1),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-J2),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-K1),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-K2),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-L1),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
SS150,English Composition and Comprehension (CS-L2),,3,BS(CS),SS (Core),11,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-A1),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-A2),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-B1),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-B2),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-C1),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-C2),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-D1),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-D2),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-E1),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-E2),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-F1),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-F2),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-G1),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-G2),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-H1),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-H2),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-I1),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-I2),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-J1),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-J2),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-K1),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-K2),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-L1),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamental Lab (CS-L2),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL117,Programming Fundamentals Lab,,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
SL150,"English Composition and Comprehension  Lab (CS-A1, CS-A2)",,1,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SL150,"English Composition and Comprehension  Lab (CS-B1, CS-B2)",,1,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SL150,"English Composition and Comprehension  Lab (CS-C1, CS-C2)",,1,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SL150,"English Composition and Comprehension  Lab (CS-D1, CS-D2)",,1,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SL150,"English Composition and Comprehension  Lab (CS-E1, CS-E2)",,1,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SL150,"English Composition and Comprehension  Lab (CS-F1, CS-F2)",,1,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SL150,"English Composition and Comprehension  Lab (CS-G1, CS-G2)",,1,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SL150,"English Composition and Comprehension  Lab (CS-H1, CS-H2)",,1,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SL150,"English Composition and Comprehension  Lab (CS-I1, CS-I2)",,1,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SL150,"English Composition and Comprehension  Lab (CS-J1, CS-J2)",,1,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SL150,"English Composition and Comprehension  Lab (CS-K1, CS-K2)",,1,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SL150,"English Composition and Comprehension  Lab (CS-L1, CS-L2)",,1,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
SL150,English Comp and Comp Lab,,1,BS(CS),SS (Core),8,,,,,,,,,,,,,,,,
,CS 2018,,,,,,,,,,,,,,,,,,,,,
EE229  ,"Comp. Organization & Assembly Lang. (CS-A, CS-B, CS-F)","Noshaba Nasir, Ms",3,BS(CS),CS (Core),8,,,3,,3,,,,,,,,,,,
EE229  ,"Comp. Organization & Assembly Lang. (CS-D, CS-E)","Syeda Farwa Batool, Ms (VF)",3,BS(CS),CS (Core),8,,,,,,,,,,,,,,,,
EE229  ,Comp. Organization & Assembly Lang. (CS-C),"Tayyaba Waqar, Ms. (VF)",3,BS(CS),CS (Core),8,,,,,,,,,,,,,,,,
EE229  ,Comp. Org. & Assembly Lang.,,3,BS(CS),CS (Core),8,,,,,,,,,,,,,,,,
CS218,"Data Structures (CS-C, CS-B)","Saira Karim, Dr",3,BS(CS),CS (Core),8,CS217,,2,,3,,,,,,,,,,,
CS218,"Data Structures (CS-A, CS-D)","Zareen Alamgir, Dr",3,BS(CS),CS (Core),8,CS217,,2,,,,,,,,,,,,,
CS218,Data Structures (CS-E),"Amjad Ali, Mr. (VF) ",3,BS(CS),CS (Core),8,CS217,,2,,,,,,,,,,,,,
CS217,"Object Oriented Programming (CS-A, CS-B)","Sobia Tariq, Ms",3,BS(CS),CS (Core),8,CS118,,6,,5,,,,,,,,,,,
CS217,Object Oriented Programming (CS-C),"Bismillah Jan, Mr. (VF)",3,BS(CS),CS (Core),8,CS118,,6,,5,,,,,,,,,,,
CS211,"Discrete Structures (CS-A, CS-D)","S. M. Husnine, Dr. (PF)",3,BS(CS),CS (Core),8,,,,,,,,,,,,,,,,
CS211,"Discrete Structures (CS-B, CS-C)","Masooma Raza, Ms. (VF)",3,BS(CS),CS (Core),8,,2,,,,,,,,,,,,,,
CS211,"Discrete Structures (CS-E, CS-F)","Misbah Irshad, Dr. (VF)",3,BS(CS),CS (Core),8,,,,,,,,,,,,,,,,
CS211,Discrete Structures (CS-G),"Muhammad Awais, Dr. (VF)",3,BS(CS),CS (Core),8,,7,,,,,,,,,,,,,,
CS211,Discrete Structures (CS-H),"Zubair Ahmad, Mr. (VF)",3,BS(CS),CS (Core),8,,7,,,,,,,,,,,,,,
EE227,Digital Logic Design (CS-A),"Muhammad Salman Mubarik, Mr (VF)",3,BS(CS),CS (Core),8,,2,,,,,,,,,,,,,,
EE227,Digital Logic Design (CS-B),"Nazish Saleem Abbas, Ms (VF)",3,BS(CS),CS (Core),8,,2,,,,,,,,,,,,,,
MT104,"Linear Algebra (CS-A, CS-C, CS-B)","Abdul Hafeez Sheikh, Mr. (PF)",3,BS(CS),MT (Core),8,,,,,,,,,,,,,,,,
MT104,"Linear Algebra (CS-E, CS-D)","Saleem Chishti, Mr. (VF)",3,BS(CS),MT (Core),8,,,,,,,,,,,,,,,,
MT104,"Linear Algebra (CS-F, CS-G)","Iffat Fayaz, Ms. (VF)",3,BS(CS),MT (Core),8,,,,,,,,,,,,,,,,
MT104,Linear Algebra (CS-H),"Mudassar Ahmad Qureshi, Mr. (VF)",3,BS(CS),MT (Core),8,,,,,,,,,,,,,,,,
MT224,Differential Equations (Cal II) (CS-R),"Hina Firdous, Ms. (VF)",3,BS(CS),MT (Core),8,MT119,,,,,,,,,,,,,,,
MG414,"Entrepreneurship (CS-A, CS-B)",,3,BS(CS),SS (Elective),8,,,,,,,,,,,,,,,,
MG414,Entrepreneurship (CS-C),,3,BS(CS),SS (Elective),8,,,,,,,,,,,,,,,,
MG103,"Finance and Accounting (CS-A, CS-B)",,3,BS(CS),SS (Elective),8,,,,,,,,,,,,,,,,
MG220,"Marketing Management (CS-A, CS-B)",,3,BS(CS),SS (Elective),8,,,,,,,,,,,,,,,,
EL229  ,Comp. Organization & Assembly Lang. Lab (CS-A1),,1,BS(CS),CS (Core),17,EL227,,,,,,,,,,,,,,,
EL229  ,Comp. Organization & Assembly Lang. Lab (CS-A2),,1,BS(CS),CS (Core),17,EL227,,,,,,,,,,,,,,,
EL229  ,Comp. Organization & Assembly Lang. Lab (CS-B1),,1,BS(CS),CS (Core),17,EL227,,,,,,,,,,,,,,,
EL229  ,Comp. Organization & Assembly Lang. Lab (CS-B2),,1,BS(CS),CS (Core),17,EL227,,,,,,,,,,,,,,,
EL229  ,Comp. Organization & Assembly Lang. Lab (CS-C1),,1,BS(CS),CS (Core),17,EL227,,,,,,,,,,,,,,,
EL229  ,Comp. Organization & Assembly Lang. Lab (CS-C2),,1,BS(CS),CS (Core),17,EL227,,,,,,,,,,,,,,,
EL229  ,Comp. Organization & Assembly Lang. Lab (CS-D1),,1,BS(CS),CS (Core),17,EL227,,,,,,,,,,,,,,,
EL229  ,Comp. Organization & Assembly Lang. Lab (CS-D2),,1,BS(CS),CS (Core),17,EL227,,,,,,,,,,,,,,,
EL229  ,Comp. Organization & Assembly Lang. Lab (CS-E1),,1,BS(CS),CS (Core),17,EL227,,,,,,,,,,,,,,,
EL229  ,Comp. Organization & Assembly Lang. Lab (CS-E2),,1,BS(CS),CS (Core),17,EL227,,,,,,,,,,,,,,,
EL229  ,Comp. Organization & Assembly Lang. Lab (CS-F2),,1,BS(CS),CS (Core),17,EL227,,,,,,,,,,,,,,,
EL229  ,Comp. Organization & Assembly Lang. Lab (CS-F1),,1,BS(CS),CS (Core),17,EL227,,,,,,,,,,,,,,,
EL229  ,Comp. Org. & Assembly Lang.  Lab,,1,BS(CS),CS (Core),17,EL227,,,,,,,,,,,,,,,
CL218,Data Structures Lab (CS-A1),,1,BS(CS),CS (Core),17,CL217,,,,,,,,,,,,,,,
CL218,Data Structures Lab (CS-A2),,1,BS(CS),CS (Core),17,CL217,,,,,,,,,,,,,,,
CL218,Data Structures Lab (CS-B1),,1,BS(CS),CS (Core),17,CL217,,,,,,,,,,,,,,,
CL218,Data Structures Lab (CS-B2),,1,BS(CS),CS (Core),17,CL217,,,,,,,,,,,,,,,
CL218,Data Structures Lab (CS-C1),,1,BS(CS),CS (Core),17,CL217,,,,,,,,,,,,,,,
CL218,Data Structures Lab (CS-C2),,1,BS(CS),CS (Core),17,CL217,,,,,,,,,,,,,,,
CL218,Data Structures Lab (CS-D1),,1,BS(CS),CS (Core),17,CL217,,,,,,,,,,,,,,,
CL218,Data Structures Lab (CS-D2),,1,BS(CS),CS (Core),17,CL217,,,,,,,,,,,,,,,
CL218,Data Structures Lab (CS-E1),,1,BS(CS),CS (Core),17,CL217,,,,,,,,,,,,,,,
CL218,Data Structures Lab (CS-E2),,1,BS(CS),CS (Core),17,CL217,,,,,,,,,,,,,,,
CL218,Data Structures  Lab,,1,BS(CS),CS (Core),17,CL217,,,,,,,,,,,,,,,
CL217,Object Oriented Programming Lab (CS-A1),,1,BS(CS),CS (Core),17,CL118,,,,,,,,,,,,,,,
CL217,Object Oriented Programming Lab (CS-A2),,1,BS(CS),CS (Core),17,CL118,,,,,,,,,,,,,,,
CL217,Object Oriented Programming Lab (CS-B1),,1,BS(CS),CS (Core),17,CL118,,,,,,,,,,,,,,,
CL217,Object Oriented Programming Lab (CS-B2),,1,BS(CS),CS (Core),17,CL118,,,,,,,,,,,,,,,
CL217,Object Oriented Programming Lab (CS-C1),,1,BS(CS),CS (Core),17,CL118,,,,,,,,,,,,,,,
CL217,Object Oriented Programming Lab (CS-C2),,1,BS(CS),CS (Core),17,CL118,,,,,,,,,,,,,,,
EL227,Digital Logic Design Lab (CS-A1),,1,BS(CS),CS (Core),15,,,,,,,,,,,,,,,,
EL227,Digital Logic Design Lab (CS-A2),,1,BS(CS),CS (Core),15,,,,,,,,,,,,,,,,
EL227,Digital Logic Design Lab (CS-B1),,1,BS(CS),CS (Core),15,,,,,,,,,,,,,,,,
EL227,Digital Logic Design Lab (CS-B2),,1,BS(CS),CS (Core),15,,,,,,,,,,,,,,,,
,CS 2017,,,,,,,,,,,,,,,,,,,,,
CS201,Data Structures (CS-R),,3,BS(CS),CS (Core),8,CS217,,6,,5,,,,,,,,,,,
CS422,"Human Computer Interaction (CS-A, CS-B)","Aamir Wali, Mr",3,BS(CS),CS (Core),8,CS204,,6,,5,,,,,,,,,,,
CS422,"Human Computer Interaction (CS-C, CS-D)","Kiran Khurshid, Ms (VF)",3,BS(CS),CS (Core),8,CS204,,,,,,,,,,,,,,,
CS422,Human Computer Interaction (CS-E),"Sarah Ali, Ms (VF)",3,BS(CS),CS (Core),8,CS204,,,,,,,,,,,,,,,
CS309,"Object Oriented Analysis & Design (CS-A, CS-B)","Aamir Raheem, Mr",3,BS(CS),CS (Core),8,CS201,,2,,3,,,,,,,,,,,
CS309,"Object Oriented Analysis & Design (CS-C, CS-D)","Irfan Younas, Dr",3,BS(CS),CS (Core),8,CS201,,2,,3,,,,,,,,,,,
CS309,"Object Oriented Analysis & Design (CS-E, CS-F)","Muhammad Umair Khan, Dr",3,BS(CS),CS (Core),8,CS201,,2,,3,,,,,,,,,,,
CS203,"Database Systems (CS-A, CS-B)","Muhammad Ishaq Raza, Mr",3,BS(CS),CS (Core),8,CS201,3,,,,,,,,,,,,,,
CS203,Database Systems (CS-C),"Muhammad Ishaq Raza, Mr (VF)",3,BS(CS),CS (Core),8,CS201,,,,,,,,,,,,,,,
CS205,"Operating Systems (CS-B, CS-C)","Muhammad Usman Awais, Dr",3,BS(CS),CS (Core),8,CS201,3,,,,,,,,,,,,,,
CS205,Operating Systems (CS-A),"Ibrahim Nadir, Mr",3,BS(CS),CS (Core),8,CS201,,,,,,,,,,,,,,,
CS409,Data Warehousing & Data mining (CS),"Muhammad Ishaq Raza, Mr",3,BS(CS),CS (Elective),8,CS203,1,,,,,,,,,,,,,,
CS406,Web Programming (CS-A),"Shahzad Ali, Mr, (VF)",3,BS(CS),CS (Elective),8,CS203,1,,,,,,,,,,,,,,
CS440,Software for Mobile Devices (CS-A),"Syed Ahmad Shahwaiz, Mr (VF) ",3,BS(CS),CS (Elective),8,CS203,1,,,,,,,,,,,,,,
CS433,Advanced Programming (CS-A),"Inaam-Ul-Hassan, Mr (VF) ",3,BS(CS),CS (Elective),8,,1,,,,,,,,,,,,,,
CS317,Information Retrieval (CS-B),"Maryam Bashir, Dr",3,BS(CS),CS (Elective),8,,1,,,,,,,,,,,,,,
CS495,Fundamental of Computer Vision (CS-A),"Syed Asif M Gilani, Dr",3,BS(CS),CS (Elective),8,,1,,,,,,,,,,,,,,
CS495,Fund. of Computer Vision,,3,BS(CS),CS (Elective),8,,1,,,,,,,,,,,,,,
EE402,Digital Image Processing (CS),"Ahsan Azhar, Mr. (VF)",3,BS(CS),CS (Elective),8,,1,,,,,,,,,,,,,,
MT206,Probability & Statistics (CS-A),Mr. Aizaz Ahmad Khan (VF),4,BS(CS),MT(Core),11,,,,,,,,,,,,,,,,
MT206,Probability & Statistics (CS-B),Ms. Huma Akbar (VF),4,BS(CS),MT(Core),11,,,,,,,,,,,,,,,,
MT206,Probability & Statistics (CS-C),Ms. Huma Akbar (VF),4,BS(CS),MT(Core),11,,,,,,,,,,,,,,,,
MT206,Probability & Statistics (CS-D),Ms. Warda Anum (VF),4,BS(CS),MT(Core),11,,,,,,,,,,,,,,,,
MT206,Probability & Statistics (CS-E),Mr. Muhammad Faran (VF),4,BS(CS),MT(Core),11,,,,,,,,,,,,,,,,
MT206,Probability & Statistics (CS-F),Mr. Muddasar Jamil Shera (VF),4,BS(CS),MT(Core),11,,,,,,,,,,,,,,,,
MT206,Probability & Statistics (CS-G),Mr. Naveed Ahmad (VF),4,BS(CS),MT(Core),11,,,,,,,,,,,,,,,,
SS217,Mass Communication (CS),Mr. Mohammad Tahir Yousaf (VF),3,BS(CS),SS (Elective),8,,,,,,,,,,,,,,,,
SS127,Sociology (CS),Mr. Asif Humayun Qureshi (VF),3,BS(CS),SS (Elective),8,,,,,,,,,,,,,,,,
SS206,Organizational Behavior (CS),Ms. Asiya Huma Khan (VF),3,BS(CS),SS (Elective),8,,,,,,,,,,,,,,,,
SS118,Psychology (CS),Ms. Raheela Tariq (PF),3,BS(CS),SS (Elective),8,,,,,,,,,,,,,,,,
SS204,International Relations (CS),Mr. Muhammad Tahir Rashid (PF),3,BS(CS),SS (Elective),8,,,,,,,,,,,,,,,,
SS220,Modern Politics & Government (CS),Mr. Abdul Sattar (PF),1,BS(CS),SS (Elective),8,,,,,,,,,,,,,,,,
MG414,Entrepreneurship (CS-D),"Amna Niazi, Dr. (VF)",1,BS(CS),SS (Elective),8,,,,,,,,,,,,,,,,
MT115,Calculus-II (CS-R),,3,BS(CS),MT (Core),8,MT101,MT101,,,,,,,,,,,,,,
CL309,Object Oriented Analysis & Design Lab (CS-B1),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL309,Object Oriented Analysis & Design Lab (CS-B2),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL309,Object Oriented Analysis & Design Lab (CS-C1),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL309,Object Oriented Analysis & Design Lab (CS-C2),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL309,Object Oriented Analysis & Design Lab (CS-D1),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL309,Object Oriented Analysis & Design Lab (CS-D2),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL309,Object Oriented Analysis & Design Lab (CS-E1),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL309,Object Oriented Analysis & Design Lab (CS-E2),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL309,Object Oriented Analysis & Design Lab (CS-F1),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL309,Object Oriented Analysis & Design Lab (CS-F2),,1,BS(CS),CS (Core),17,CS201,,,,,,,,,,,,,,,
CL203,Database Systems Lab (CS-A1),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL203,Database Systems Lab (CS-A2),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL203,Database Systems Lab (CS-B1),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL203,Database Systems Lab (CS-B2),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL203,Database Systems Lab (CS-C1),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL203,Database Systems Lab (CS-C2),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL205,Operating Systems Lab (CS-A1),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL205,Operating Systems Lab (CS-A2),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL205,Operating Systems Lab (CS-B1),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL205,Operating Systems Lab (CS-B2),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
CL205,Operating Systems Lab (CS-C1),,1,BS(CS),CS (Core),17,,,,,,,,,,,,,,,,
